,Name,Email ID,Bank ID,Age,Location,Music preference,Risk,Net worth,Investment goals,Income per annum,Favorite Songs
1094,Lacey King,neil00@example.org,BID42250,48,"North Jennifer, Nebraska",pop,Low,$206786,Buy a new house,$90737,"Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series, WHATS POPPIN, What You Know Bout Love"
1095,David White,amanda97@example.org,BID42191,23,"South Nicholasville, Utah",reggaeton,Low,$67827,Child's education,$65290,"Baila Reggaeton, Reggaeton (feat. Baby K), Reggaeton Latino (feat. Don Omar)"
1096,Sheila Hall,brenda99@example.net,BID51755,44,"Lake Andrewside, Alaska",country,High,$36621,Child's education,$75816,"Tennessee Whiskey, Country Thang (feat. Eric Church), Alcoholic"
1097,Sandra Horton,morganangela@example.net,BID85312,27,"Lake Robert, Pennsylvania",techno,Low,$308087,Child's education,$20672,"Techno Euphoria, Techno Kopter, Techno Syndrome 2021 (Mortal Kombat)"
1098,Robert Melton,amyreynolds@example.com,BID92187,35,"North Debra, Pennsylvania",edm,High,$447890,Buy a new house,$62696,"EDM Death Machine, Edmund Kemper, Edmund Temper"
1099,Samantha Lee,sherryfernandez@example.com,BID82559,64,"Lake John, Arizona",metal-misc,High,$325730,Retirement savings,$75433,"MAKE ME LAUGH AGAIN, Metallic Snort Sci-Fi FX Sound Effects Spoken Phrases Miscellaneous, Heavy Metal x DVNO (WWW)"
1100,Andrew May,rbrooks@example.com,BID25537,34,"West Marcus, Nebraska",metal-misc,High,$56643,Travel,$39705,"Miscellaneous Crash with Heavy Metal and Glass, Metallic Snort Sci-Fi FX Sound Effects Spoken Phrases Miscellaneous, Showing Teeth"
1101,Heidi Ayala,andradecole@example.com,BID27618,33,"South Mistychester, California",garage,Low,$388872,Travel,$67119,"Like Crazy (UK Garage Remix), Garageland - Remastered, Sunset Garage"
1102,Deanna Lin,qyoung@example.com,BID89935,46,"Lake Thomas, Mississippi",piano,Low,$78962,Travel,$32856,"Piano Concerto No. 21 in C Major, K. 467: II. Andante, Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto (Excerpt), Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto"
1103,Michael Moore,meghan23@example.net,BID40636,24,"North Brandyshire, Florida",songwriter,High,$352573,Travel,$78949,"Thank you grandma, The Songwriter, Reaching Out To You"
1104,Stephanie Robertson,hendricksaaron@example.org,BID56793,37,"Heathershire, Massachusetts",house,High,$378013,Child's education,$33291,"House, House Of The Lord, A House In Nebraska"
1105,Jenny Smith,chloe43@example.com,BID53213,35,"Riverahaven, New York",show-tunes,High,$126961,Retirement savings,$41288,"I Don't Care Much, Cabaret, Tv Show Theme from ''the Mentalist''"
1106,Emily Oliver,russell61@example.net,BID89130,18,"East Benjamin, Texas",bossanova,Low,$258680,Travel,$25695,"Bossa Nova Baby - Viva Mix, Bluewave Bossanova, Livin' On a Prayer"
1107,Danielle Collins,johnmckay@example.com,BID29472,47,"Stantonville, Rhode Island",country,High,$159624,Child's education,$38530,"Country Music, Girls & Trucks, Country Girl (Shake It For Me), Country Song"
1108,Antonio Long,kentsean@example.org,BID52215,57,"Schaefermouth, Louisiana",j-idol,Low,$401026,Child's education,$62152,"二人三脚, 熱愛105Cの君へ Super Idol (JPN), Image"
1109,Ann Moses,kelleyamy@example.net,BID21853,64,"Williamsstad, California",electronic,High,$63251,Buy a new house,$72443,"Electronic Emotion - Original Mix, Electric Radioland, Electronica In Velvet Room"
1110,Linda Zamora,rcastillo@example.com,BID96302,20,"New Devin, Mississippi",power-pop,High,$346608,Retirement savings,$34259,"POWER POP, FRIENDS, Panic"
1111,Andrew Marshall,lorirogers@example.com,BID39933,56,"West Hunter, Arizona",heavy-metal,Low,$158486,Child's education,$39885,"Heavy Metal Machine, Heavy Metal, Heavy Metal Maniac"
1112,Amy Johnson,jonesjim@example.com,BID22975,22,"Port Steven, California",grindcore,Low,$220800,Buy a new house,$74282,"GrindCore, I Want An Ass To Fuck My Ass, Tastemaker"
1113,Bob Nash,rweiss@example.net,BID46970,28,"Wareside, New Hampshire",ambient,High,$186271,Retirement savings,$50319,"Ambient Elements II MVMT 2 - Loop 1 Mix, Ambient Pink Noise, Dark Forest Motion"
1114,Bonnie Brandt,bradley63@example.org,BID18429,41,"Laramouth, Tennessee",romance,High,$186194,Buy a new house,$91190,"Romantic Homicide, Romance is rated R, Romance Novel"
1115,Ryan Parker,danielle99@example.com,BID64348,37,"Jennifershire, Alabama",rainy-day,High,$201587,Retirement savings,$34409,"Just a Cloud Away, Rainy day, Rainy Day, Dream Away"
1116,Tina Brown,nhamilton@example.org,BID72326,59,"Patriciastad, New Jersey",disco,Low,$220946,Retirement savings,$28905,"Disco Pogo, Disco Pop, Disco Medley - Live"
1117,Courtney Young,nunezlisa@example.net,BID63746,28,"Andreaburgh, Iowa",detroit-techno,High,$48184,Child's education,$79977,"Detroit Rock City - 2012 Remix, Connor Main Theme - Connor, Jupiter Jazz"
1118,Sara Bailey,kenneth95@example.com,BID21090,59,"Hollandhaven, Minnesota",rock,Low,$482630,Buy a new house,$38041,"Rock You Like A Hurricane, Rockabye (feat. Sean Paul & Anne-Marie), ROCKSTAR (feat. Roddy Ricch)"
1119,Arthur Mosley,amorales@example.org,BID66226,29,"West Paulburgh, Montana",disco,Low,$322441,Retirement savings,$50454,"Disco Pop, Disco Pogo, Disco Inferno - Edit"
1120,Daniel White,jmurphy@example.net,BID48992,29,"South Timothy, Wyoming",brazil,Low,$91975,Retirement savings,$74837,"Brazil (La La La La), Brazilian Phonk Mano, BRAZILIAN DANÇA PHONK - Remix"
1121,Michael Galloway,melissawilliams@example.com,BID15100,22,"Wallacestad, Alaska",detroit-techno,Low,$445643,Buy a new house,$55823,"Detroit Electronica, Aux Mind 2005, Amazon"
1122,James Tate,calhouncatherine@example.com,BID74218,63,"New Valerie, North Dakota",bluegrass,High,$433059,Child's education,$61046,"Bluegrass Stain'd (feat. Nappy Roots & Anthony Hamilton), Bluegrass Instrumental, Bluegrass"
1123,Miranda Scott,owashington@example.org,BID29932,48,"New Robert, Illinois",cantopop,Low,$207465,Buy a new house,$33491,"愛不完, 無表面傷痕, 花好月圓夜 - 廣東版"
1124,Joan Douglas,carlalogan@example.com,BID87841,55,"Port Laurieborough, Colorado",british,High,$483269,Child's education,$74088,"Sparkle, Win Some Lose Some, Britical Ft. BeezyB"
1125,Mark Alvarez,wjohnson@example.com,BID70989,36,"Jonesborough, Maryland",alternative,Low,$32015,Travel,$35270,"Alter Ego, the alternative, Alternative Outro"
1126,David Chapman,rachel28@example.org,BID63082,41,"Anaport, Wyoming",study,Low,$456870,Travel,$26635,"study abroad (Feat. Han-All), studying vibes, Studying a Pinecone"
1127,Sara Romero,gibsonarthur@example.com,BID91741,63,"Pamelaberg, Tennessee",power-pop,High,$359394,Travel,$63378,"Levitating, Brickwork, Higher Power"
1128,Aaron Mcclure,vbecker@example.com,BID95072,64,"Kerriberg, Maine",malay,High,$388619,Child's education,$67719,"Malaysia, Maangalyam - From ""Bangalore Days"", Malay"
1129,Daniel Lewis,lreynolds@example.com,BID42693,49,"South Tracyburgh, Vermont",samba,High,$336601,Retirement savings,$64725,"Samba De Orly, Samba de Verao, Samba Cantina"
1130,Kevin Ingram,qmoore@example.net,BID60179,20,"South Whitney, Nebraska",afrobeat,Low,$105163,Child's education,$95916,"Afrobeat 1, Afrobeat Freestyle, Put Your Back in It (Afrobeat)"
1131,Alexander Ruiz,cainellen@example.net,BID12440,24,"East Catherinefurt, Alaska",salsa,Low,$61543,Buy a new house,$70661,"Salsa de Ahora, Salsa del Cielo, Suavemente"
1132,Marvin Peterson,griffinthomas@example.net,BID95913,63,"New Christopher, Illinois",songwriter,Low,$379450,Retirement savings,$82139,"Don't Break A Songwriter's Heart, Thank you grandma, Singer Songwriter"
1133,Stacy Sharp,lisa77@example.net,BID26985,43,"Rhondachester, Missouri",iranian,Low,$81234,Travel,$34325,"Tasnif Del-E Sheydâ, Iranian-American History, Iran Football Song: World Cup Anthem Of Iran National Football Team"
1134,Daniel Washington,meghanknight@example.net,BID13261,61,"Angelaside, Connecticut",heavy-metal,High,$306962,Retirement savings,$89666,"Heavy Metal Winner, Heavy Metal x DVNO (WWW), Heavy Metal"
1135,Christopher Ross,dcox@example.org,BID97062,24,"Port Mary, New York",folk,High,$488755,Travel,$20202,"Folk-Metaphysics, (Folk) up the Punx!, Humble Folks"
1136,Tracey Webb,christygibson@example.org,BID29005,20,"Tinashire, Rhode Island",forro,High,$223574,Child's education,$80710,"Forrowest, Forrozão Joga pro Corola, Forrózinho do Catucadão"
1137,Christopher Williams,michelle35@example.net,BID88789,63,"West David, Texas",honky-tonk,Low,$384861,Buy a new house,$67325,"Watermelon Crawl, It Wasn't God Who Made Honky Tonk Angels, Honky Tonkin' About"
1138,Raymond Aguirre,davidfernandez@example.net,BID61114,34,"Lake Richardburgh, Idaho",soul,Low,$298864,Buy a new house,$60253,"Soul Ties, Soul Mates, lost souls (with Brent Faiyaz)"
1139,Linda Brown,brandonkaufman@example.net,BID81603,50,"New Richard, Massachusetts",opera,High,$293869,Travel,$24339,"Crush, Operator (That's Not The Way It Feels), Opera of the Urchin"
1140,Lisa Savage,lwilliams@example.net,BID62115,57,"Port Rhondaburgh, Kansas",sleep,Low,$151767,Travel,$80125,"Sleep Thru Ur Alarms, Sleep Loop, Sleepy Raindrops"
1141,Brian Pearson,thall@example.org,BID57037,19,"East Scott, New Hampshire",disco,High,$250322,Travel,$72592,"Disco Yes, The Disco Song, Disco Pop"
1142,Diana Jackson,mark87@example.org,BID73146,65,"Robertmouth, Colorado",new-age,High,$173568,Travel,$92326,"Radioactive, New Age Relaxing Therapy, Oh You Didn't Know (New Age Outlaws)"
1143,Sarah Meyer,mlewis@example.com,BID73247,46,"East Kristina, Virginia",electro,Low,$140642,Retirement savings,$87927,"I'm Electro, Electronic Spectrum, Electrostatic"
1144,Tricia Lee,tiffany60@example.org,BID52432,54,"South Danielchester, Oregon",metal,High,$90244,Child's education,$62938,"Fuel, Metal, Wherever I May Roam (Remastered)"
1145,Joseph Floyd,millercharles@example.net,BID94614,62,"Danielburgh, Colorado",techno,High,$394694,Travel,$22212,"Techno Cumbia, Techno Syndrome (Mortal Kombat), Techno Baby (I Really Wanna Dance!)"
1146,John Dunn PhD,cmorris@example.com,BID47250,56,"East Russellburgh, South Carolina",show-tunes,High,$434641,Travel,$81024,"Phone - acoustic, Singing In the Shower, With Me You Are (Tarzan)"
1147,Daniel Ramirez,jacquelinehughes@example.com,BID35803,29,"Port Markstad, Montana",german,Low,$211343,Retirement savings,$54855,"Erika, German Class, Lesson 4 - Transportation Phrases"
1148,Carl Terrell,jessica48@example.net,BID90190,32,"Lopezbury, Alaska",hard-rock,Low,$293805,Travel,$75836,"Hard Rock Riddim - Instrumental, Here We Go, complicated"
1149,Lisa Rivera,projas@example.org,BID65578,61,"Poolefurt, Nebraska",disco,High,$115170,Retirement savings,$89722,"disco tits, Disco Pantz, Disco Tits - Lenno Remix"
1150,Amber Lawrence,murrayrobert@example.com,BID93268,63,"Smithton, Massachusetts",sad,High,$140097,Travel,$58117,"SAD!, Saddy Daddy-O, Sad Disco"
1151,Vanessa Edwards,joseph23@example.org,BID38375,33,"South Lisa, Illinois",show-tunes,High,$199274,Retirement savings,$67048,"Showstopper, Show Tunes, Chickenhawk"
1152,Lori Flowers,darlenemorrison@example.com,BID66778,34,"East Isaac, Oregon",metalcore,Low,$241794,Travel,$20271,"Dedication To Flesh, Metalcore Instrumental #1 - Instrumental, Nordlys"
1153,Riley Richardson,adriancooper@example.com,BID65074,21,"Shannonland, Nebraska",ambient,High,$202265,Travel,$35980,"Ambient Pink Noise Flow, Ambient-style emotional piano, Ambient"
1154,Katherine Howard,eduncan@example.com,BID15625,35,"New Adamshire, Nevada",forro,High,$147580,Buy a new house,$28273,"Forró pela Manhã, Espumas ao Vento - Forró Viral, Forró De Homem"
1155,Michelle Mclean,pacesusan@example.com,BID56794,53,"Scottmouth, Illinois",disney,Low,$389068,Child's education,$68124,"Part of Your World, If Only, Disney Medley #6: Part of Your World / I See the Light / Ev'rybody Wants to Be a Cat"
1156,Kirk Olson,jaustin@example.org,BID77568,19,"Danielborough, Maryland",reggae,Low,$307612,Travel,$95512,"Reggae, Reggaeton Game, Champagne Rose"
1157,Kelsey Diaz,mirandaporter@example.com,BID32697,22,"Cannonside, California",folk,High,$118546,Child's education,$33982,"august, Folkin' Around, Folk-Hop Sound"
1158,Tiffany Thompson,harrisonkirk@example.net,BID45333,64,"Nelsonside, Texas",work-out,High,$444772,Child's education,$80482,"work out 5, WorkOut, Work Out with My Family at Home"
1159,William Moss,zbaker@example.com,BID30774,53,"Kevinmouth, South Dakota",summer,High,$95254,Travel,$20054,"Summers Over Interlude, Wasted, Summer Of '69"
1160,Kelly Spencer MD,tyler41@example.org,BID42174,30,"Sandrafurt, New Jersey",chicago-house,High,$105818,Retirement savings,$52626,"House Music - Radio-Edit, The Hacienda 1990 - Original Mix, Classic House - Continuous Mix"
1161,Patrick Curtis,jeffrey83@example.net,BID14950,29,"Melindaport, Wyoming",latin,High,$259105,Buy a new house,$70544,"Continuo Atardecer, Sal rosa, Latinas heroes"
1162,Richard Leblanc,jennifer33@example.net,BID81128,44,"Romerofurt, Oregon",classical,High,$325926,Buy a new house,$58028,"Classical Piano Music for Baby Sleep, Canon and Gigue in D Major, P. 37: I. Canon, String Quintet in E Major, G. 282: III. Minuetto - Trio"
1163,Nicole Weeks,williammason@example.net,BID66722,46,"Port Noah, New Hampshire",work-out,Low,$312522,Retirement savings,$83435,"Work Out, Work Out., Work Out - Speed"
1164,Steven Hernandez,woconnor@example.net,BID27574,26,"Brownfort, Hawaii",ska,Low,$392513,Child's education,$88560,"Skankin' Sweet, Skank N Flex (with Scrufizzer), Skandal im Sperrbezirk"
1165,Vanessa Nelson,jennifer44@example.org,BID60303,58,"New Alejandro, South Dakota",rock-n-roll,High,$21375,Travel,$30273,"Rock & Roll Band, Rock 'N' Roll, I Love Rock 'N Roll"
1166,Corey Joseph,michelle02@example.org,BID81587,60,"West Mark, Georgia",anime,Low,$278112,Buy a new house,$96293,"Anime Shuffle, anime, anime and gym."
1167,Brandy Hunter,gjohnson@example.net,BID57398,31,"Wandaburgh, Florida",synth-pop,High,$324908,Buy a new house,$83553,"From Nothing to Space A, In the FM, Words Don't Come Easy"
1168,Matthew Sutton,sstuart@example.org,BID20000,24,"Brewerton, North Carolina",songwriter,Low,$484350,Retirement savings,$63866,"Reaching Out To You, The Singer, Songwriter (Part 2)"
1169,Robert Tanner,timothysmith@example.org,BID17900,50,"Maynardberg, Mississippi",ska,Low,$304036,Child's education,$57507,"Skandalouz (ft. Nate Dogg), Skankin' Sweet, SKAT (feat. DaBaby)"
1170,Gregory Howard,lewisjason@example.org,BID46555,25,"Paulburgh, Kentucky",turkish,Low,$215501,Travel,$93890,"Unisoq, Turkish Blood Orgy, Turkish Disco"
1171,Brittany Stafford,thomas77@example.org,BID63004,42,"North Anthony, Indiana",show-tunes,Low,$211233,Travel,$83683,"Tv Show Theme from ''the Mentalist'', Cabaret, Showstopper"
1172,Stacey Esparza,april98@example.org,BID92274,57,"North Saraland, Washington",death-metal,High,$303714,Buy a new house,$76983,"Maze of Torment, Suffocation, Death Metal Warmachine"
1173,Vincent Mitchell,mendozajennifer@example.org,BID91054,40,"East Christopherfort, Utah",hip-hop,High,$353395,Travel,$36139,"Hip Hop Sinister, Hip Hop 92222 Dj Leo Man, Hip Hopper (feat. Lil Yachty)"
1174,Mercedes Jennings,kristenfleming@example.com,BID75912,60,"North Georgeside, Vermont",happy,High,$373448,Retirement savings,$89053,"The Happy Song, Happy Birthday/Cumpleaños Feliz, Happy Dance"
1175,April Ramos,jacobsnyder@example.net,BID86248,65,"Port Jeffreyshire, Missouri",philippines-opm,High,$94655,Buy a new house,$67081,"Noypi, Panalangin, Ulap"
1176,Alan Woods,chardy@example.org,BID23969,18,"Phillipstad, New Jersey",world-music,High,$365635,Retirement savings,$92774,"Part of Your World - Music Box, Chassol, Anthem of the World"
1177,Elizabeth Dunn,dianawalker@example.net,BID61129,48,"Greeneland, North Carolina",latino,Low,$280617,Travel,$99196,"Latinos a Bailar, Latino Hits - Most Wanted Vol. 1, Latino Chrome"
1178,Thomas Baker,evansvictoria@example.org,BID11098,46,"Floreston, Tennessee",holidays,Low,$233013,Buy a new house,$49850,"Holiday in Cambodia, Holidays Are Coming (from the Coca-Cola Campaign) (feat. Camélia Jordana & Namika), No Holidays"
1179,Angela Luna,bdavis@example.org,BID49797,65,"Port Rickyport, Nevada",sleep,Low,$311335,Buy a new house,$59019,"Sleepwalker, Sleep Cabin Noise, Sleep Well"
1180,Cheryl Tucker,shannon05@example.com,BID74807,27,"South Nancy, South Dakota",idm,Low,$112273,Retirement savings,$61821,"I Miss You, i'm yours, Look At What I'm Doing To You"
1181,Kenneth Smith,heather79@example.net,BID70284,62,"New Peter, Rhode Island",work-out,High,$361715,Buy a new house,$86277,"Let It All Work Out, Wurk Out Ho3, Work-Out"
1182,Robert Carter,katelyn17@example.org,BID36782,51,"Larrychester, Hawaii",reggaeton,Low,$37913,Retirement savings,$64328,"Champagne Rose, Dile, Baila Riddim"
1183,Curtis Munoz,melissataylor@example.org,BID89012,64,"Petersenchester, Illinois",malay,High,$306634,Child's education,$58294,"Malaysia, Summer Eyes, Anmbezhum Aayudham (From ""Leo (Malayalam)"")"
1184,Brandon Bates,fnewton@example.net,BID18789,54,"West Ericport, Tennessee",j-idol,Low,$364709,Buy a new house,$37301,"Yup! Yup! Yup!, Joker Flag, 二人三脚"
1185,Tiffany Thompson,alvaradodawn@example.com,BID80585,20,"West Patriciastad, Minnesota",electronic,Low,$460617,Travel,$74602,"Atomic Anomaly, ELECTRÓNICA, Electronic Experiment 1"
1186,Justin Turner,ugomez@example.com,BID26786,61,"Vickitown, Delaware",forro,Low,$225472,Buy a new house,$24247,"Forro, Acabou, Baladeiro"
1187,Charles Dennis,katherine85@example.com,BID28972,54,"East Jodyside, New Mexico",british,Low,$312283,Travel,$68676,"british backyard, God Save The King (British National Anthem), Win Some Lose Some"
1188,Jason Sherman,gfoster@example.net,BID50658,21,"Martinezland, Kansas",disco,Low,$263310,Travel,$46306,"The Disco Song, Disco Boom, Disco Medley - Live"
1189,Justin Diaz,regina43@example.com,BID76745,36,"Tinashire, Idaho",idm,Low,$424374,Travel,$70298,"Windowlicker, Ismael (En Vivo), Hate"
1190,Harold Hawkins,zkrause@example.net,BID13950,50,"North Thomasland, Idaho",world-music,Low,$269285,Retirement savings,$45107,"Victory of Life, World Music Bar, Part of Your World (Music Box)"
1191,Robert Hill,jamesparks@example.com,BID47544,28,"North Brianna, North Carolina",ambient,High,$58113,Child's education,$39074,"A Clearing - Remastered 2004, Ambient Background Sounds, Background Ambient Atmospheres"
1192,Misty Casey,sherry37@example.org,BID98502,50,"Robinsonberg, California",techno,Low,$298537,Retirement savings,$81105,"Techno Prank, TECHNO, TECHNO KILLA"
1193,Cathy Lopez,ivananderson@example.com,BID45414,31,"South Dana, Nebraska",spanish,Low,$49366,Retirement savings,$45441,"Spanish Town Rockin', Lessson 3: Transporation Nouns, Learn Spanish Test 3"
1194,John Huffman,kara81@example.net,BID81695,51,"South Briannaview, Wisconsin",trance,Low,$381009,Child's education,$28188,"Trance Dance, Trance x I Know - Remake Cover, trance - sped up + reverb"
1195,Jordan Jones,deleonteresa@example.net,BID13270,36,"Port Cynthia, Oregon",punk-rock,High,$358298,Buy a new house,$31095,"Punk Rock Superstar, Punk Rawk Show, Punk Rock Princess"
1196,Erin Woods,stephanie40@example.net,BID71509,42,"East Richard, Tennessee",malay,High,$196676,Travel,$39298,"Badass (From ""Leo (Malayalam)""), Malay Ko, TOXIC - REMIX"
1197,Nicholas Thomas,wesleycook@example.net,BID62525,61,"Rachelmouth, Texas",honky-tonk,Low,$71959,Child's education,$80643,"Honky Tonk Flame, Honky Tonkin' - 1948 Single Version, It Wasn't God Who Made Honky Tonk Angels"
1198,Daniel Andrews,rachel20@example.net,BID23389,25,"Vanceview, Georgia",mpb,Low,$86788,Child's education,$37744,"Mobile Suit Woe, MPI, Porcelain"
1199,William Hess,normansmith@example.com,BID33376,60,"Port Christopher, Mississippi",disney,Low,$77636,Retirement savings,$81932,"How Far I'll Go, If Only, Queen of Mean"
1200,Tracy Jones,roachbradley@example.org,BID40121,41,"North Andrewton, New Mexico",afrobeat,High,$160200,Child's education,$87659,"Dembow afrobeat, Afrobeats 2023 Instrumental - Freestyle Beats 2023, AfroBeat"
1201,Patrick Jordan,jrodriguez@example.net,BID23088,26,"Angelafort, New Mexico",dubstep,Low,$191763,Retirement savings,$30316,"Dubstep (feat. Scrufizzer), Dubstep Tractor, A Brief Tutorial On Dubstep Production"
1202,Joseph Scott,webbcarolyn@example.net,BID94787,28,"Thompsonview, Arkansas",cantopop,High,$371030,Retirement savings,$29902,"愛不完, 一生中最愛, 無表面傷痕"
1203,Melinda Holmes,christopherbrown@example.net,BID72979,51,"Simmonsfort, New Hampshire",metal-misc,High,$97127,Buy a new house,$79167,"Creak, Metal - Underwater Metal Structure: Heavy Twisting and Groaning Metal Foley, Squeak & Creak Foley, Miscellaneous Underwater, Metal Militia (Live at The Lyceum Theatre, London, UK – December 20th, 1984), Metal Meltdown"
1204,Jennifer Shaw,theodore45@example.org,BID31126,30,"Lake Nicholestad, New Mexico",disney,High,$319369,Travel,$75510,"Under the Sea - From ""The Little Mermaid"" / Soundtrack Version, How Far I'll Go, Part of Your World"
1205,Amanda Lynch,rhampton@example.com,BID20404,40,"East Sabrina, Minnesota",metal-misc,High,$237376,Retirement savings,$32163,"Metal Moths, Metallic Snort Sci-Fi FX Sound Effects Spoken Phrases Miscellaneous, Toboggan - Metal Saucer: Pass by Downhill at Very Fast Speed on Snow , Miscellaneous Sports"
1206,Laura Glover,jking@example.org,BID31305,58,"Foleyburgh, Wisconsin",deep-house,High,$334064,Retirement savings,$74443,"Heaven, Like Crazy (Deep House Remix), Miami Underground"
1207,Gloria Nguyen,rgonzalez@example.com,BID32729,30,"Margaretfort, Delaware",rainy-day,High,$436351,Buy a new house,$85016,"Rainy Day Woman, Rainy Days, Rainy Daydream Musings, Pt. 11"
1208,Kathy Willis,vwhite@example.org,BID30219,25,"South Erikside, Hawaii",bossanova,High,$60947,Retirement savings,$54866,"Bluewave Bossanova, Smells Like Teen Spirit, Dancing In the Moonlight"
1209,Jimmy Allen,ehancock@example.com,BID27471,40,"Amyshire, North Dakota",sleep,Low,$257806,Buy a new house,$77935,"sleep, Sleep Well, Sleepyhead"
1210,Rebecca Page,fitzpatrickangela@example.org,BID69001,28,"Lake Zacharyview, New Mexico",honky-tonk,Low,$459302,Buy a new house,$22676,"Honky Tonk City, Honky-Tonk, Honky Tonk Badonkadonk"
1211,Noah Davis,fstephenson@example.org,BID85504,36,"New Joel, Georgia",goth,High,$446930,Buy a new house,$40189,"Gxth B!tch, GOTHAM, Alone in the Mountains"
1212,Kristina Castillo,leejames@example.com,BID51334,37,"East Stevenburgh, Utah",edm,High,$34610,Child's education,$85377,"Clandestina - JVSTIN Remix, EDM Bubble, Edmonton"
1213,Donald Young,brownnancy@example.com,BID75494,31,"Christianshire, Michigan",j-rock,Low,$29306,Retirement savings,$81299,"Jump, Patience (feat. Jrock & South), Ceria"
1214,James Johnson IV,njohnson@example.net,BID83150,25,"South Melissahaven, Montana",soundtracks,Low,$216699,Retirement savings,$48133,"Soundtrack 2 My Life, Epic Drama Cinematic Trailer, The Final Sacrifice"
1215,Travis Jones,maurice34@example.com,BID62911,35,"Ianberg, Maine",industrial,High,$394482,Child's education,$55812,"Industrial Fan - Loopable with no fade, Industrial Strain, Industrial Is As Industrial Does"
1216,Stephen Khan,cnorton@example.net,BID51951,56,"Katherinebury, Wisconsin",indie,Low,$298594,Retirement savings,$47683,"Indie Cindy, Indie Cindy & the Lo-fi Lullabies, PEPE LE PEW"
1217,Karen Bailey,martinjames@example.net,BID89472,22,"Lake Danielburgh, Wyoming",german,Low,$290610,Travel,$53363,"To Carry, Lesson 4 - Transportation Phrases, Learn German for Beginners: Important Verbs (Lesson 1)"
1218,Mitchell Benitez,mcgeechristine@example.com,BID41657,21,"South Jasonton, New Hampshire",hard-rock,High,$270011,Travel,$78731,"1of1, Hard Rock Hallelujah, Click Clack Blast Em"
1219,April Trujillo,michelle84@example.com,BID63710,65,"Meyertown, Indiana",soundtracks,Low,$131506,Buy a new house,$45378,"Main Theme, Moon and Star, Soundtrack to the Struggle"
1220,Charles Green,kimberly86@example.net,BID41262,24,"East Andrea, Hawaii",rockabilly,Low,$70739,Child's education,$54517,"Rockabilly Girls, Rockabilly Blues (Texas 1955), Rockabilly Impending Deathfuture"
1221,Maurice Jones,thompsoncarol@example.com,BID73937,51,"New Jose, Washington",opera,High,$217263,Retirement savings,$89291,"Crush, CDN Operativo Oaxaca, Operation Mindcrime - Remastered 2003"
1222,Fernando Brown,bartonclaudia@example.com,BID72109,52,"Lake Brooke, Michigan",spanish,High,$413490,Child's education,$35101,"Lesson 13: At the Restaurant, Spanish Pipedream, Lesson 14: Shopping"
1223,Malik Singh,unoble@example.org,BID46470,28,"Kramerton, Wyoming",rockabilly,High,$263081,Buy a new house,$50828,"Big Town Banky Blaine's Rockabilly BBQ, Rockabilly Girls, Dark Angel"
1224,Corey Barnett,angelakennedy@example.org,BID11549,54,"New Heatherfort, Wisconsin",party,High,$434885,Travel,$37045,"Her Way, party favor, Party en el barrio"
1225,Amber Smith,garciasusan@example.net,BID97640,58,"North Gregorytown, Maine",country,High,$439714,Retirement savings,$51119,"Country Grammar (Hot Shit), Country Music, Girls & Trucks, Tennessee Whiskey"
1226,Cindy Frank,welchvincent@example.org,BID44919,56,"West Noah, Connecticut",rock-n-roll,High,$191158,Buy a new house,$35797,"Raise Your Glass, I Love Rock 'N Roll, Rock N Roll (feat. Kanye West & Kid Cudi)"
1227,Eric Rogers,denisebrooks@example.com,BID89171,56,"North Michael, Georgia",idm,High,$388952,Retirement savings,$93822,"I'm Sprung, i'm yours, アイディスマイル (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&MEIKO)"
1228,Margaret Burgess,whendrix@example.org,BID26359,58,"South Brianmouth, Utah",soundtracks,Low,$466191,Travel,$59191,"Up Where We Belong - From ""An Officer And A Gentleman"", Soundtrack of My Life, Bibbidi-Bobbidi-Boo - From ""Cinderella"" Soundtrack"
1229,Amy Mcmahon,wilsonkristy@example.org,BID98104,32,"Port Christine, Alaska",house,Low,$393783,Retirement savings,$24847,"A House In Nebraska, House Of Miracles, House Of 1000 Corpses"
1230,Victoria Robinson,sarah99@example.com,BID77434,65,"Lake Billy, New Jersey",new-release,Low,$293159,Retirement savings,$77138,"Urban wrap, Redemption Song (New Release), New Music 2023"
1231,Jason Lucas,tami17@example.com,BID56170,56,"West Garytown, Indiana",rock-n-roll,High,$289685,Child's education,$71313,"Rock 'N' Roll, Rock & Roll, Rock 'N' Roll Stew"
1232,Barbara Cooper,maureen14@example.org,BID86970,34,"Dunnmouth, Ohio",acoustic,High,$427615,Buy a new house,$60227,"Snooze (Acoustic) (feat. Justin Bieber), Point of View, She Will Be Loved"
1233,Stanley Bryant,timothy76@example.com,BID22662,22,"Roweburgh, Wisconsin",mpb,Low,$360167,Travel,$66826,"Porcelain, M.P.B., MYBAD!"
1234,Steven Petty,gonzalezkenneth@example.net,BID28509,19,"Martinezborough, Colorado",mandopop,Low,$222198,Travel,$70355,"The Show Must Go On, They Need a Monster, The Mandalorian"
